"POVINN","UCIT"
NJSF155,"12511"
NJSF158,"70764"
NJSF160,"13395"
NMAF017,"12704"
NMAG472,"10899"
NMAG331,"13176"
NMNV532,"13056"
NMNV538,"11500"
NMNV544,"14271"
NMAG571,"12673"
NMAI055,"11115"
NMAI165,"11626"
NMET512,"12258"
NJAZ174,"59412"
NMAI069,"22464"
NMEK605,"11345"
NMET011,"10832"
NMET019,"13397"
NMET020,"11174"
NMET071,"13635"
NMET501,"13360"
NMET533,"11160"
NMET533,"13397"
NMMA164,"12731"
NMMA435,"12970"
NMMA455,"11574"
NMMA459,"11466"
NMMA533,"11491"
NMMA575,"11466"
NMMB437,"10898"
NMMB442,"11050"
NMMO327,"11112"
NMMO401,"11112"
NMMO539,"11512"
NMNV405,"73125"
NMNV531,"11668"
NJAZ174,"48144"
NMSA170,"12178"
NMMA205,"12306"
NMST543,"12178"
NMST543,"13759"
NMST611,"68435"
NMTM462,"17187"
NMTM511,"11765"
NMTM511,"12731"
NOFY003,"18412"
NPRG030,"11037"
NMFM336,"12098"
NOFY036,"11304"
NOFY059,"11476"
NOFY022,"11775"
NMMA588,"12970"
NMMA339,"11336"
NMMA101,"11560"
NMAG212,"11769"
NOFY029,"13466"
NMMB404,"50002"
NOOE029,"11629"
NOOE039,"11510"
NOOE046,"11337"
NOOE074,"11629"
NOOE100,"12413"
NOOE127,"11300"
NOOE139,"21310"
NOPT045,"12353"
NPED047,"33844"
NPEP901,"11550"
NPFL097,"13654"
NAFY084,"11387"
NAFY103,"11348"
NAIL069,"11622"
NAIL082,"54720"
NAIL127,"43541"
NPFL130,"22187"
NPGR001,"78100"
NPGR005,"62433"
NPGR035,"68764"
NPRG045,"11306"
NAIL132,"93461"
NAST004,"12150"
NAST008,"12150"
NAST008,"13007"
NAST012,"12148"
NBCM010,"11780"
NBCM014,"11168"
NBCM080,"16400"
NBCM091,"12939"
NSWI103,"10740"
NTIN046,"11791"
NMAI059,"10734"
NTIN079,"11791"
NTMF002,"12411"
NOFY087,"12837"
NBCM122,"25101"
NBCM138,"11593"
NBCM147,"39801"
NBCM149,"13179"
NBCM150,"13179"
NBCM166,"10731"
NBCM187,"12388"
NBCM200,"11347"
NBCM217,"11779"
NBCM219,"11347"
NBCM300,"11620"
NBCM347,"11621"
NCGD013,"40505"
NTMF020,"18859"
NTMF045,"11862"
NTMF059,"49403"
NTVY006,"11077"
NTVY006,"11239"
NTVY014,"11239"
NUFY130,"11757"
NUMV058,"17787"
NMSA331,"11521"
NFUF816,"17184"
NMAI057,"11291"
NOFY056,"12437"
NMAI057,"82351"
NDBI025,"13461"
NDGF026,"12317"
NDIN006,"11433"
NDMI002,"93063"
NDMI041,"10734"
NMAG112,"38463"
NDMI050,"65641"
NDMI070,"12460"
NBCM178,"11371"
NBCM178,"11775"
NBCM178,"70426"
NOFY021,"17076"
NOFY021,"16400"
NMAG475,"35546"
NPRG041,"74478"
NAST030,"44337"
NEVF170,"13116"
NBCM011,"11979"
NBCM093,"12411"
NMNV405,"11502"
NAST019,"13307"
NFPL097,"11745"
NFPL136,"18084"
NFPL139,"18085"
NBCM107,"11856"
NBCM114,"11371"
NCHF072,"16238"
NJAZ170,"64280"
NJAZ079,"76387"
NJAZ082,"11412"
NJAZ084,"11412"
NJAZ109,"76387"
NJAZ112,"10853"
NBCM120,"12494"
NBCM124,"33014"
NBCM125,"12388"
NBCM125,"12955"
NBCM156,"13761"
NFPL151,"11362"
NMET005,"11617"
NFPL151,"12704"
NFPL154,"22962"
