"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIDAW19B,"2018",NPRG036,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0009",,,,
NIDAW19B,"2018",NPRG038,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0013",,,,
NIDAW19B,"2018",NPRG041,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0001",,,,
NIDAW19B,"2018",NPRG045,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIDAW19B,"2018",NPRG051,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0008",,,,
NIDAW19B,"2018",NPRG056,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0003",,,,
NIDAW19B,"2018",NSWI004,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0001",,,,
NIDAW19B,"2018",NSWI090,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0006",,,,
NIDAW19B,"2018",NSWI120,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0003",,,,
NIDAW19B,"2018",NSWI130,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0007",,,,
NIDAW19B,"2018",NSWI141,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0004",,,,
NIDAW19B,"2018",NSWI142,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0001",,,,
NIDAW19B,"2018",NSWI153,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0007",,,,
NIDAW19B,"2018",NSWI166,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0006",,,,
NIDAW19B,"2018",NSZZ026,NSZZ031,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2018",NSZZ031,,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2018",NTIN060,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIDAW19B,"2018",NTIN061,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIDAW19B,"2018",NTIN071,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIDAW19B,"2018",NTVY014,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIDAW19B,"2018",NTVY015,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIDAW19B,"2018",NTVY016,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIDAW19B,"2018",NTVY017,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIDAW19B,"2018",NTVY018,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIDAW19B,"2018",NTVY019,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
NIDAW19B,"2019",NAIL062,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIDAW19B,"2019",NAIL120,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0005",,,,
NIDAW19B,"2019",NAIL121,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0010",,,,
NIDAW19B,"2019",NDBI007,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0004",,,,
NIDAW19B,"2019",NDBI013,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0007",,,,
NIDAW19B,"2019",NDBI025,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIDAW19B,"2019",NDBI026,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0003",,,,
NIDAW19B,"2019",NDBI038,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0013",,,,
NIDAW19B,"2019",NDBI040,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0006",,,,
NIDAW19B,"2019",NDBI045,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0004",,,,
NIDAW19B,"2019",NDBI046,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0012",,,,
NIDAW19B,"2019",NDMI002,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIDAW19B,"2019",NDMI011,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIDAW19B,"2019",NJAZ091,,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2019",NMAI054,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIDAW19B,"2019",NMAI055,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0001",,,,
NIDAW19B,"2019",NMAI057,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIDAW19B,"2019",NMAI058,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIDAW19B,"2019",NMAI059,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIDAW19B,"2019",NPFL054,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0003",,,,
NIDAW19B,"2019",NPFL129,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0008",,,,
NIDAW19B,"2019",NPGR002,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0009",,,,
NIDAW19B,"2019",NPGR035,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0011",,,,
NIDAW19B,"2019",NPGR036,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0008",,,,
NIDAW19B,"2019",NPRG005,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0014",,,,
NIDAW19B,"2019",NPRG013,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0006",,,,
NIDAW19B,"2019",NPRG021,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0012",,,,
NIDAW19B,"2019",NPRG030,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIDAW19B,"2019",NPRG031,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIDAW19B,"2019",NPRG035,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0007",,,,
NIDAW19B,"2019",NPRG036,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0009",,,,
NIDAW19B,"2019",NPRG038,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0013",,,,
NIDAW19B,"2019",NPRG041,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0001",,,,
NIDAW19B,"2019",NPRG045,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIDAW19B,"2019",NPRG051,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0008",,,,
NIDAW19B,"2019",NPRG056,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0003",,,,
NIDAW19B,"2019",NPRG062,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0001",,,,
NIDAW19B,"2019",NPRX030,NPRG030,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIDAW19B,"2019",NSWI004,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0001",,,,
NIDAW19B,"2019",NSWI090,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0006",,,,
NIDAW19B,"2019",NSWI095,NSWI177,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0010",,,,
NIDAW19B,"2019",NSWI120,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0003",,,,
NIDAW19B,"2019",NSWI130,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0007",,,,
NIDAW19B,"2019",NSWI141,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0004",,,,
NIDAW19B,"2019",NSWI142,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0001",,,,
NIDAW19B,"2019",NSWI153,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0007",,,,
NIDAW19B,"2019",NSWI166,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0006",,,,
NIDAW19B,"2019",NSWI170,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0009",,,,
NIDAW19B,"2019",NSWI177,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0010",,,,
NIDAW19B,"2019",NSZZ026,NSZZ031,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2019",NSZZ031,,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2019",NTIN060,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIDAW19B,"2019",NTIN061,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIDAW19B,"2019",NTIN071,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIDAW19B,"2019",NTVY014,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIDAW19B,"2019",NTVY015,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIDAW19B,"2019",NTVY016,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIDAW19B,"2019",NTVY017,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIDAW19B,"2019",NTVY018,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIDAW19B,"2019",NTVY019,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
NIDAW19B,"2020",NAIL062,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIDAW19B,"2020",NAIL120,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0005",,,,
NIDAW19B,"2020",NAIL121,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0010",,,,
NIDAW19B,"2020",NAIX062,NAIL062,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIDAW19B,"2020",NDBI007,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0004",,,,
NIDAW19B,"2020",NDBI013,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0007",,,,
NIDAW19B,"2020",NDBI025,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIDAW19B,"2020",NDBI026,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0003",,,,
NIDAW19B,"2020",NDBI038,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0013",,,,
NIDAW19B,"2020",NDBI040,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0006",,,,
