"POVINN","REQTYP","REQPOVINN"
NMAI045,Z,NALG003
NMAI049,K,NMAI009
NMAI049,Z,NMAI056
NMAI050,K,NMAI009
NMAI050,K,NMAI049
NMAI050,Z,N#IA021
NMAN004,Z,NMFM464
NMAT001,Z,NMAG471
NMAT003,N,NMAI020
NMAT003,Z,NMAI020
NMAT007,Z,NMAG409
NMAT008,Z,NMAG532
NMAT010,Z,NMTP535
NMAT018,Z,NMAT039
NMAT067,K,NMAT066
NMET014,N,NXXX003
NMET049,K,NMET050
NMOD017,P,NDIR005
NMOD017,P,NRFA006
NMOD018,K,NMOD017
NMOD023,Z,NMNV461
NMOD024,K,NMOD023
NMOD024,Z,NMNV462
NMOD032,P,NMAA004
NMOD032,P,NMOD012
NMOD033,K,NMOD032
NMOD035,Z,N#MP121
NMOD036,Z,NMMO531
NMUE002,Z,NMUM101
NMUE003,K,NMUE002
NMUE003,Z,NMUM102
NMUE003,Z,NUMP002
NMUE004,N,NALG026
NMUE004,N,NALG027
NMUE004,N,NMAI019
NMUE004,N,NUMP007
NMUE004,N,NUMZ004
NMUE004,Z,NALG027
NMUE004,Z,NMAI019
NMUE004,Z,NUMP007
NMUE005,Z,NUMP010
NMUE006,Z,NUMP011
NMUE007,Z,NMUM201
NMUE008,K,NMUE007
NMUE009,Z,NUMP009
NMUE012,N,N#MS006
NMUE012,N,N#MS050
NMUE012,N,NMAI059
NMUE012,N,NSTP014
NMUE012,N,NSTP017
NMUE012,N,NSTP022
NMUE012,N,NSTP064
NMUE012,N,NSTP070
NMUE012,N,NSTP097
NMUE012,N,NSTP129
NMUE012,N,NSTP177
NMUE012,N,NUMP013
NMUE012,Z,NUMP013
NMUE015,Z,NDIM001
NMUE016,Z,NUMV043
NMUE018,Z,NUMP017
NMUE024,N,NALG001
NMUE024,Z,NALG001
NMUE024,Z,NUMP003
NMUE025,K,NMUE024
NMUE025,N,NALG002
NMUE025,N,NUMP004
NMUE025,Z,NALG002
NMUE025,Z,NUMP004
NNUM001,Z,NMMA334
NNUM006,N,NMNM331
NNUM006,Z,NMNM331
NNUM010,Z,NMNV539
NNUM011,Z,NMNV543
NNUM015,N,NMNV405
NNUM015,N,NNUM002
NNUM015,Z,NMNV405
NNUM015,Z,NNUM002
NNUM016,Z,NMNV563
NNUM017,Z,NMNV564
NNUM018,Z,NMNV403
NNUM021,Z,NMNV501
NOFY026,N,NXXX005
NOFY026,N,NXXX006
NOFY026,N,NXXX046
NOFY026,N,NOFY126
NOFY026,Z,NOFY126
NOFY030,N,NOFY130
NOFY030,N,NOFY130
NOFY030,P,NOFY066
NOFY030,Z,NOFY130
NOFY030,Z,NOFY130
NOFY031,N,NTMF043
NOFY031,Z,NTMF043
NOFY036,N,NOFY031
NOFY036,N,NTMF043
NOFY043,Z,NUFY030
NOFY045,N,NBCM110
NOFY045,N,NFPL010
NOFY045,N,NJSF060
NOFY045,N,NJSF094
NOFY045,N,NTMF066
NOFY046,K,NOFY045
NOFY046,N,NBCM111
NOFY046,N,NJSF061
NOFY046,N,NJSF095
NOFY046,N,NTMF067
NOPT010,K,NOPT009
NOPT034,N,NXXX007
NOPT034,N,NXXX008
NOPT034,N,NXXX009
NOPT034,N,NXXX036
NOPT034,N,NXXX037
NPED006,Z,NPED027
NPED006,Z,NPED028
NPFL023,K,N#IL002
NPFL038,N,NXXX011
NPFL038,N,NXXX012
NPFL038,N,NXXX013
NPFL038,N,NXXX070
NPFL038,N,NXXX071
NPRF018,N,NPRF051
NPRF018,Z,NPRF051
NPRF028,Z,NUFZ018
NPRF028,Z,NUFZ019
NPRF033,N,NPRG004
NPRF033,N,NPRM001
NPRF033,Z,NPRG004
NPRF033,Z,NPRM001
NPRF040,N,NPRF033
NPRF040,N,NPRG004
NPRF040,N,NPRM001
NPRF040,Z,NPRF033
NPRF040,Z,NPRG004
NPRF040,Z,NPRM001
NPRF041,K,NPRF040
NPRF041,N,NPRF033
NPRF041,N,NPRG004
NPRF041,N,NPRM001
NPRF041,Z,NPRF033
NPRF041,Z,NPRG004
NPRF041,Z,NPRM001
NPRG004,Z,NPRF033
NPRG004,Z,NPRM001
NPRG004,N,NPRF033
NPRG004,N,NPRM001
NPRG019,K,NPRG012
NPRG019,Z,NPRG034
NPRG023,N,NPRG069
NPRG023,Z,NPRG069
NPRM001,N,NPRF033
NPRM001,N,NPRG004
NPRM001,N,NPRG030
NPRM001,N,NPRG031
NPRM001,Z,NPRF033
NPRM001,Z,NPRG004
NPRM001,Z,NPRG031
NPRM022,N,NSWI003
NPRM022,P,NPRM009
NRFA006,N,NRFA075
NRFA006,P,N#AA301
NRFA006,P,N#AA302
NRFA006,Z,NMMA331
NRFA006,Z,NRFA009
NRFA013,Z,NMMA404
NRFA014,K,NRFA013
NRFA014,Z,NMMA403
NRFA016,K,NRFA015
NRFA017,Z,NMNV401
NRFA018,Z,NMNV402
NRFA027,P,NMAA069
NRFA027,P,NMAA070
NRFA027,P,NRFA006
NRFA042,Z,NRFA009
NRFA045,Z,NMMA533
NSTP001,N,NSTP201
NSTP001,Z,N#MS041
NSTP002,K,NSTP001
NSTP002,N,NSTP202
NSTP002,Z,N#MS042
NSTP004,Z,NMST440
NSTP005,P,NSTP050
NSTP005,Z,NMTP438
NSTP006,N,NSTP007
NSTP006,Z,N#MS027
NSTP008,K,NSTP050
NSTP008,K,NSTP201
NSTP008,Z,NMSA401
NSTP009,Z,NMST450
NSTP013,Z,NMST541
NSTP014,N,N#MS037
NSTP014,N,NMAI059
NSTP014,N,NMSA202
NSTP014,N,NSTP022
NSTP014,N,NSTP070
NSTP014,N,NSTP129
