"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"17952","32-KPMS","11320",Otava,Martin,Mgr.,Ph.D.
"15853","32-KFPP","11320",Hrubý,Vojtěch,Mgr.,
"17920","32-KPMS","11320",Šimurda,Miroslav,Dr.,
"14077","32-KDF","11320",Koudelková,Věra,RNDr.,Ph.D.
"15298","32-#EXT","11320",Tóth,Géza,Dr,
"16114","32-UFAL","11320",Cuřin,Jan,RNDr.,Ph.D.
"16470","32-#EXT","11320",Baaz,Matthias,Prof.,
"18161","32-CVUT","11320",Demlová,Marie,prof. RNDr.,CSc.
"18698","32-KDM","11320",Šalom,Pavel,Mgr. et Mgr.,
"18180","32-KPMS","11320",Přečková,Petra,Mgr.,Ph.D.
"18181","32-KPMS","11320",Pokorný,Vít,,
"15282","32-#EXT","11320",Sojka,Eduard,Doc. Ing.,CSc.
"15283","32-#EXT","11320",Peters,Gabriele,Prof.,Ph.D.
"14154","32-#EXT","11320",Sereni,Jean-Sébastein,,
"15227","32-KTV","11320",Findejs,Jan,,
"11362","32-KMF","11320",Nedbal,Jan,doc. RNDr.,CSc.
"11363","32-MUUK","11320",Nečas,Jindřich,Prof. RNDr.,DrSc.
"11364","32-KNM","11320",Najzar,Karel,doc. RNDr.,CSc.
"11365","32-MUUK","11320",Najmanová,Anna,Mgr.,
"11367","32-KSI","11320",Muehlbacher,X.,,
"11368","32-OVZS","11320",Mrkvička,Tomáš,prof. RNDr.,Ph.D.
"11369","32-KSVI","11320",Mráz,František,RNDr.,CSc.
"11370","32-FUUK","11320",Moravec,Pavel,doc. RNDr.,CSc.
"11371","32-FUUK","11320",Mojzeš,Peter,doc. RNDr.,CSc.
"11372","32-KTIML","11320",Mlček,Josef,doc. RNDr.,CSc.
"11374","32-KCHFO","11320",Miler,Miroslav,doc. RNDr.,DrSc.
"11375","32-AUUK","11320",Mészáros,Attila,doc. RNDr.,DrSc.
"11377","32-KSI","11320",Merta,Petr,Mgr.,
"11380","32-KPMS","11320",Mazurová,Lucie,RNDr.,Ph.D.
"11381","32-SISAL","11320",Mayer,Petr,doc. RNDr.,Dr.
"11382","32-AUUK","11320",Mayer,Pavel,RNDr.,DrSc.
"11383","32-KG","11320",Matyska,Ctirad,doc. RNDr.,DrSc.
"11384","32-KPMS","11320",Matúš,František,Ing.,CSc.
"11387","32-KFPP","11320",Mašek,Karel,prof. RNDr.,Ph.D.
"11388","32-KMF","11320",Marvan,Milan,doc. RNDr.,CSc.
"11390","32-#EXT","11320",Rosado,Margarita,Dr.,PhD.
"11391","32-KPMS","11320",Vorlíčková,Dana,RNDr.,CSc.
"12475","32-KDF","11320",Kolářová,Růžena,doc. RNDr.,CSc.
"12477","32-KFNT","11320",Koláček,Jan,RNDr.,CSc.
