"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NISD23N,"2023",NSWI152,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0009",,,,
NISD23N,"2023",NSWI153,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSWI166,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0010",,,,
NISD23N,"2023",NSWX153,NSWI153,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSZZ023,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0001",,,,
NISD23N,"2023",NSZZ024,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0002",,,,
NISD23N,"2023",NSZZ025,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0003",,,,
NISD23N,"2023",NTIN043,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0027",,,,
NISD23N,"2023",NTIN066,,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIN067,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0011",,,,
NISD23N,"2023",NTIN090,,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX066,NTIN066,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX090,NTIN090,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
