"POVINN","PKLAS"
NMUE008,MATMAA
NMUE009,MATGEM
NMUE012,MATEXT
NMUE012,MATSTP
NMUE013,MATMAA
NMUE014,MATGEM
NMUE015,MATDID
NMUE016,MATDID
NMUE017,MATMAT
NMUE018,MATGEM
NMUE019,MATMAA
NMUE024,MATALG
NMUE024,TEAMAT
NMUE025,MATALG
NMUE025,TEAMAT
NNUM001,MATNUM
NNUM006,MATNUM
NNUM008,MATNUM
NNUM010,MATNUM
NNUM011,MATNUM
NNUM012,MATNUM
NNUM013,MATNUM
NNUM014,MATNUM
NNUM015,MATNUM
NNUM016,MATNUM
NNUM017,MATNUM
NNUM018,MATNUM
NNUM021,MATNUM
NNUM039,MATNUM
NNUM063,MATNUM
NOFY010,PHYGEN
NOFY011,PHYGEN
NOFY013,PHYGEN
NOFY018,PHYGEN
NOFY021,PHYGEN
NOFY022,PHYGEN
NOFY026,PHYGEN
NOFY030,PHYGEN
NOFY031,PHYGEN
NOFY036,PHYGEN
NOFY037,PHYGEN
NOFY039,PHYGEN
NOFY043,PHYGEN
NOFY045,PHYGEN
NOFY046,PHYGEN
NOOE003,PHYOPT
NOOE016,PHYOPT
NOOE025,PHYOPT
NOOE035,PHYOPT
NOOE046,PHYOPT
NOOE048,PHYOPT
NOOE059,PHYOPT
NOOE061,PHYOPT
NOPT009,INFOPT
NOPT010,INFOPT
NOPT032,INFOPT
NOPT034,INFDIS
NOPT034,INFOPT
NOPT041,INFDIS
NOPT041,INFOPT
NOPT045,INFOPT
NPED006,PHYTEA
NPFL003,INFLNG
NPFL007,INFLNG
NPFL022,INFLNG
NPFL023,INFLNG
NPFL038,INFLNG
NPGR009,INFCGR
NPOZ002,MATMAT
NPOZ003,MATMAT
NPOZ004,INFTCS
NPOZ007,PHYGEN
NPOZ009,INFLNG
NPOZ010,PHYGEN
NPOZ014,MATMAT
NPRF005,PHYMAT
NPRF009,PHYMAT
NPRF017,PHYMAT
NPRF018,PHYMAT
NPRF024,PHYMAT
NPRF025,PHYMAT
NPRF028,PHYMAT
NPRF033,INFPRG
NPRF037,PHYMAT
NPRF038,PHYMAT
NPRF039,PHYMAT
NPRF040,INFPRG
NPRF041,INFPRG
NPRG004,INFPRG
NPRG015,INFPRG
NPRG019,INFPRG
NPRG023,INFPRG
NPRM001,INFPRG
NPRM022,INFSWE
NPRM036,INFAPL
NPRM036,MATEXT
NPRM036,MATSTP
NPRM039,MATMAT
NPRM041,INFSWE
NPRM041,MAT
NRFA005,MATFNC
NRFA006,MATFNC
NRFA008,MATFNC
NRFA013,MATMAA
NRFA014,MATMAA
NRFA015,MATFNC
NRFA016,MATFNC
NRFA017,MATFNC
NRFA018,MATFNC
